ANT1,5.40,-14.60,90.00,2450AT18B100E,2450AT18B100E_ANTC3216X140N
C1,8.20,-31.00,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C1-EP-DR,11.90,-31.00,0.00,10uF,NORDIC_NRF_3_RESC0201_L
C10,15.50,-31.00,0.00,N.C.,NORDIC_NRF_3_RESC0201_L
C11,19.20,-31.00,0.00,100pF,NORDIC_NRF_3_RESC0201_L
C12,22.80,-31.00,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C13,26.40,-31.00,0.00,N.C.,NORDIC_NRF_3_RESC0201_L
C14,30.10,-31.00,0.00,4.7uF,NORDIC_NRF_3_RESC0201_L
C15,33.70,-31.00,0.00,1.0uF,NORDIC_NRF_3_RESC0201_L
C16,37.40,-31.00,0.00,47nF,NORDIC_NRF_3_RESC0201_L
C17,41.00,-31.00,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C18,44.60,-31.00,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C19,48.30,-31.00,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C2,51.90,-31.00,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C2-EP-DR,55.60,-31.00,0.00,4.7uF/25V,NORDIC_NRF_3_RESC0201_L
C20,59.20,-31.00,0.00,4.7uF,NORDIC_NRF_3_RESC0201_L
C21,62.80,-31.00,0.00,4.7uF,NORDIC_NRF_3_RESC0201_L
C22,66.50,-31.00,0.00,N.C.,NORDIC_NRF_3_RESC0201_L
C23,-15.80,9.50,90.00,0.1uF,NORDIC_NRF_3_RESC0201_L
C24,-16.60,9.50,90.00,10uF,NORDIC_NRF_3_RESC0201_L
C25,-15.70,15.40,90.00,22uF,NORDIC_NRF_3_RESC0201_L
C27,-36.30,-36.40,0.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C29,-32.60,-36.40,0.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C3,-28.90,-36.30,0.00,1pF,NORDIC_NRF_3_RESC0201_L
C30,-25.30,-36.40,0.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C31,-21.60,-36.40,0.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C32,-17.90,-36.40,0.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C33,-15.00,15.40,90.00,22uF,NORDIC_NRF_3_RESC0201_L
C34,-10.60,-36.40,0.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C37,-9.80,14.50,0.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C38,-9.80,12.30,0.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C39,-9.70,13.80,0.00,10uF,NORDIC_NRF_3_RESC0201_L
C4,4.10,-36.30,0.00,1pF,NORDIC_NRF_3_RESC0201_L
C42,7.80,-36.40,0.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C43,11.40,-36.30,0.00,4.7uF,NORDIC_NRF_3_RESC0201_L
C5,15.10,-36.30,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C6,18.70,-36.30,0.00,4.7uF,NORDIC_NRF_3_RESC0201_L
C7,22.30,-36.30,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C8,26.00,-36.30,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C9,29.60,-36.30,0.00,820pF,NORDIC_NRF_3_RESC0201_L
D2,-8.00,-8.30,0.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
D3,-3.20,4.80,0.00,USBLC6-2SC6Y,ESP32_C6_LIBRARY_3_SOT95P280X145-6N
D4,-8.00,-4.80,0.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
D5,-2.70,-4.70,0.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
EPD_C1,63.30,-36.30,0.00,1uF/50V,NORDIC_NRF_3_RESC0201_L
EPD_C10,66.90,-36.30,0.00,1uF/50V,NORDIC_NRF_3_RESC0201_L
EPD_C11,70.50,-36.30,0.00,1uF/50V,NORDIC_NRF_3_RESC0201_L
EPD_C12,74.20,-36.30,0.00,1uF/50V,NORDIC_NRF_3_RESC0201_L
EPD_C2,-39.90,-42.50,0.00,1uF/50V,NORDIC_NRF_3_RESC0201_L
EPD_C5,-36.30,-42.50,0.00,0.1uF/50V,NORDIC_NRF_3_RESC0201_L
EPD_C6,-32.60,-42.50,0.00,1uF/50V,NORDIC_NRF_3_RESC0201_L
EPD_C7,-29.00,-42.50,0.00,1uF/50V,NORDIC_NRF_3_RESC0201_L
EPD_C8,-25.40,-42.50,0.00,1uF/50V,NORDIC_NRF_3_RESC0201_L
